trial_id,game_id,rt,trial_num,slider_num_agents,slider_recipe,trial_stim,true_num_agents,true_recipe,slider_min_agents,slider_max_agents,slider_min_recipe,slider_max_recipe
c2f81d49-c9cd-4207-88be-1a9e25212ffd,0603-f5fd0cc7-7916-46b5-96bf-111f27ae8482,27029.999999999985,0.0,4,51,either_agents-onion,either_agents,onion,1agent,2agent,tomato,onion
57a1b617-a25b-4164-9fc6-89a1df6a95ad,0603-f5fd0cc7-7916-46b5-96bf-111f27ae8482,10909.0,1.0,98,55,either_agents-either_recipe,either_agents,either_recipe,1agent,2agent,tomato,onion
da3674aa-76b3-4ea6-a285-b0ac1908bb20,0603-f5fd0cc7-7916-46b5-96bf-111f27ae8482,12805.0,2.0,100,30,1agent-tomato,1agent,tomato,1agent,2agent,tomato,onion
b5450807-1768-4ee8-9546-8745aed07c86,0603-f5fd0cc7-7916-46b5-96bf-111f27ae8482,10960.0,3.0,69,2,1agent-onion,1agent,onion,1agent,2agent,tomato,onion
534807c5-88c8-4e82-8678-4f9be8f1b24c,0603-f5fd0cc7-7916-46b5-96bf-111f27ae8482,11793.0,4.0,86,24,either_agents-tomato,either_agents,tomato,1agent,2agent,tomato,onion
9a10580b-71c9-4f1f-b312-4a701e8075ad,0603-f5fd0cc7-7916-46b5-96bf-111f27ae8482,11760.0,5.0,97,70,2agent-onion,2agent,onion,1agent,2agent,tomato,onion
601daeb0-be67-45be-96ba-489e630bed3e,0603-f5fd0cc7-7916-46b5-96bf-111f27ae8482,7481.0,6.0,80,23,2agent-tomato,2agent,tomato,1agent,2agent,tomato,onion
cc07c3c4-1239-4ba6-adad-c55fd3e4ef6b,0603-f5fd0cc7-7916-46b5-96bf-111f27ae8482,11228.0,7.0,31,65,2agent-either_recipe,2agent,either_recipe,1agent,2agent,tomato,onion
713ec4ce-01f2-4057-a03f-8ae3a5ee9a8e,0603-f5fd0cc7-7916-46b5-96bf-111f27ae8482,55417.0,8.0,65,62,1agent-either_recipe,1agent,either_recipe,1agent,2agent,tomato,onion
4bf38285-be84-43ca-969e-d7876629a1b7,1658-bf28d5a5-598d-4989-ab48-cef7a2c287c2,21490.39999997616,0.0,0,100,either_agents-onion,either_agents,onion,1agent,2agent,tomato,onion
e40d3c75-2907-4486-9bdd-d7ea9a34ecce,1658-bf28d5a5-598d-4989-ab48-cef7a2c287c2,18250.5,1.0,100,0,2agent-tomato,2agent,tomato,1agent,2agent,tomato,onion
cf13e521-dcb9-4283-9db2-c8e388384ade,1658-bf28d5a5-598d-4989-ab48-cef7a2c287c2,16057.0,2.0,100,100,2agent-either_recipe,2agent,either_recipe,1agent,2agent,tomato,onion
5ac547d0-d799-42ce-a87a-8a47f521dd0d,1658-bf28d5a5-598d-4989-ab48-cef7a2c287c2,11140.700000047684,3.0,0,0,either_agents-tomato,either_agents,tomato,1agent,2agent,tomato,onion
efc6e1ee-83b6-4ec8-997b-410870176c2d,1658-bf28d5a5-598d-4989-ab48-cef7a2c287c2,16249.30000001192,4.0,0,100,either_agents-either_recipe,either_agents,either_recipe,1agent,2agent,tomato,onion
47edaa9f-5d93-4065-99cb-ac9f200f8336,1658-bf28d5a5-598d-4989-ab48-cef7a2c287c2,15393.19999998808,5.0,100,100,1agent-onion,1agent,onion,1agent,2agent,tomato,onion
55ed3aa3-0d49-470b-aa41-6b60217f1252,1658-bf28d5a5-598d-4989-ab48-cef7a2c287c2,12278.69999998808,6.0,100,100,1agent-either_recipe,1agent,either_recipe,1agent,2agent,tomato,onion
b40fe9c4-12fe-414b-bcb6-063770e0b2a6,1658-bf28d5a5-598d-4989-ab48-cef7a2c287c2,10483.19999998808,7.0,100,100,2agent-onion,2agent,onion,1agent,2agent,tomato,onion
736f085a-5f55-4239-bf95-b646431bfe8b,1658-bf28d5a5-598d-4989-ab48-cef7a2c287c2,18642.89999997616,8.0,0,0,1agent-tomato,1agent,tomato,1agent,2agent,tomato,onion
ba14bf3a-25dd-49ff-bf5a-6f951f58ca1e,3940-09e5b914-3dc0-4137-9759-7a08a702f759,68021.60000002384,0.0,100,48,either_agents-onion,either_agents,onion,1agent,2agent,tomato,onion
e7be6e39-02f9-4112-b362-c4ef44c94a19,3940-09e5b914-3dc0-4137-9759-7a08a702f759,14437.30000001192,1.0,85,100,1agent-onion,1agent,onion,1agent,2agent,tomato,onion
f30160df-2503-4d2f-bcc6-37784e844144,3940-09e5b914-3dc0-4137-9759-7a08a702f759,20712.799999952316,2.0,94,74,2agent-onion,2agent,onion,1agent,2agent,tomato,onion
950284f8-ec54-47ca-a84a-581961637f34,3940-09e5b914-3dc0-4137-9759-7a08a702f759,7108.699999988079,3.0,100,51,either_agents-either_recipe,either_agents,either_recipe,1agent,2agent,tomato,onion
28248068-3c57-46fc-b392-75240603d7d6,3940-09e5b914-3dc0-4137-9759-7a08a702f759,25109.80000001192,4.0,100,31,2agent-tomato,2agent,tomato,1agent,2agent,tomato,onion
aa047899-7363-44c5-94a4-0208c449aa7b,3940-09e5b914-3dc0-4137-9759-7a08a702f759,14187.899999976158,5.0,0,50,1agent-either_recipe,1agent,either_recipe,1agent,2agent,tomato,onion
e19a0452-e23a-4106-a1ff-02c6c8ecb968,3940-09e5b914-3dc0-4137-9759-7a08a702f759,10292.600000023842,6.0,100,52,2agent-either_recipe,2agent,either_recipe,1agent,2agent,tomato,onion
3404d4d0-a43c-4998-bf71-557a7dc1379c,3940-09e5b914-3dc0-4137-9759-7a08a702f759,8675.900000035763,7.0,0,0,1agent-tomato,1agent,tomato,1agent,2agent,tomato,onion
0895312f-16ce-420f-ab7c-9486abf7e5fa,3940-09e5b914-3dc0-4137-9759-7a08a702f759,14272.0,8.0,100,74,either_agents-tomato,either_agents,tomato,1agent,2agent,tomato,onion
98e9eb3a-d95a-4da2-92b2-96f0ac00b410,5513-d830053b-4187-4ff1-acc6-ac31d5c71973,15423.899999976158,0.0,100,0,1agent-tomato,1agent,tomato,1agent,2agent,tomato,onion
11a11027-0120-4bd2-b55d-662aff63be27,5513-d830053b-4187-4ff1-acc6-ac31d5c71973,7226.900000035763,1.0,100,100,either_agents-either_recipe,either_agents,either_recipe,1agent,2agent,tomato,onion
5d032a9d-5ae3-4083-9c6f-cc98512c4597,5513-d830053b-4187-4ff1-acc6-ac31d5c71973,11286.80000001192,2.0,100,100,2agent-tomato,2agent,tomato,1agent,2agent,tomato,onion
446eaff6-89bf-454d-9fd4-1bbe106ba854,5513-d830053b-4187-4ff1-acc6-ac31d5c71973,5700.800000011921,3.0,100,100,1agent-onion,1agent,onion,1agent,2agent,tomato,onion
fe7280f6-a23b-4dcb-a8ca-6421efeaacdc,5513-d830053b-4187-4ff1-acc6-ac31d5c71973,7868.5,4.0,100,100,2agent-either_recipe,2agent,either_recipe,1agent,2agent,tomato,onion
7ef7601c-f06f-49c0-b53e-c5040982567d,5513-d830053b-4187-4ff1-acc6-ac31d5c71973,5369.899999976158,5.0,100,0,either_agents-tomato,either_agents,tomato,1agent,2agent,tomato,onion
73f1d9f9-5061-4f0a-bf9e-e30b9d1b6461,5513-d830053b-4187-4ff1-acc6-ac31d5c71973,5121.900000035763,6.0,100,0,2agent-onion,2agent,onion,1agent,2agent,tomato,onion
693f6149-f2a0-4db8-9a6e-c80778214e8e,5513-d830053b-4187-4ff1-acc6-ac31d5c71973,5447.600000023842,7.0,100,100,either_agents-onion,either_agents,onion,1agent,2agent,tomato,onion
00012ae4-a369-4de0-95f4-9ddd46b3d01c,5513-d830053b-4187-4ff1-acc6-ac31d5c71973,10257.30000001192,8.0,100,100,1agent-either_recipe,1agent,either_recipe,1agent,2agent,tomato,onion
34497893-3230-4698-96c1-d85d8f279bf3,9285-366a9950-7cc0-4a35-b646-f43ca3c59e62,30964.89999997616,0.0,0,35,1agent-tomato,1agent,tomato,1agent,2agent,tomato,onion
5637afa7-1162-4bb9-a2f5-b66ca4c92717,9285-366a9950-7cc0-4a35-b646-f43ca3c59e62,15965.700000047684,1.0,69,36,2agent-tomato,2agent,tomato,1agent,2agent,tomato,onion
8a9b8c71-a0ab-4147-8363-940903b99f15,9285-366a9950-7cc0-4a35-b646-f43ca3c59e62,19245.5,2.0,0,50,1agent-either_recipe,1agent,either_recipe,1agent,2agent,tomato,onion
99eb1128-446e-4e31-9690-e825e1bcfb09,9285-366a9950-7cc0-4a35-b646-f43ca3c59e62,10517.300000071526,3.0,100,38,either_agents-tomato,either_agents,tomato,1agent,2agent,tomato,onion
29b15dd1-e641-4163-b91f-db0d95ecea6d,9285-366a9950-7cc0-4a35-b646-f43ca3c59e62,9448.899999976158,4.0,70,81,2agent-onion,2agent,onion,1agent,2agent,tomato,onion
cc539698-e771-4e5d-aa1a-4623ccabe4ee,9285-366a9950-7cc0-4a35-b646-f43ca3c59e62,10047.199999928474,5.0,82,50,2agent-either_recipe,2agent,either_recipe,1agent,2agent,tomato,onion
33113925-f217-4884-904a-1479b190004a,9285-366a9950-7cc0-4a35-b646-f43ca3c59e62,21215.900000095367,6.0,89,77,either_agents-onion,either_agents,onion,1agent,2agent,tomato,onion
4714339b-8dc2-4305-b9dd-cbbdf878aee4,9285-366a9950-7cc0-4a35-b646-f43ca3c59e62,5815.799999952316,7.0,0,97,1agent-onion,1agent,onion,1agent,2agent,tomato,onion
ae182daf-b8f1-4183-b548-f518f726f1a1,9285-366a9950-7cc0-4a35-b646-f43ca3c59e62,10083.900000095367,8.0,80,50,either_agents-either_recipe,either_agents,either_recipe,1agent,2agent,tomato,onion
5488c8c9-bb46-4956-95aa-2c9b8a4211fe,9288-213ee239-ee69-4527-b285-e195a5b9881b,11329.10000000894,0.0,6,3,1agent-tomato,1agent,tomato,1agent,2agent,tomato,onion
fd36f552-23b9-4b01-bebf-cf68ef54f1b9,9288-213ee239-ee69-4527-b285-e195a5b9881b,31339.59999999404,1.0,70,83,2agent-onion,2agent,onion,1agent,2agent,tomato,onion
